school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,PCA1,PCA2,Cluster,Recommendation,Suggested_Tool_or_Resource
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,-2.702472987405364,-0.1475192078803501,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,-2.7181393152522606,-0.9349101616809794,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,-2.6835918393579123,0.5415214550219937,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,2.18949388648039,-0.8414163731217114,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,-1.0644360410156877,-0.9741684353364692,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,1.9129414587904665,0.5465815847598323,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,0.5025720399995734,-0.8849477799631045,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,-2.573280674089669,-0.6987155691358643,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,3.3869303099162456,-0.5256792225317148,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,2.003884445571494,-0.9797460789446304,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,-0.6532183656702844,-1.8447460258302968,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,0.5538064317850426,-1.16141897923754,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,1.4709638135392682,-0.8511531449136943,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,-0.0836632976421364,-1.45666882255402,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,2.5074213059246078,-0.9230220340343392,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,1.3233135006329866,-0.1169710105780267,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,1.527822197111135,-0.0718437797551573,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
